sku_id,cat,rank_v1,recommend_index,rank_v2,recommend_score,rank_change
清扬男士洗发水,洗发水,1,86.48,143,87.55,-142
蒙牛大果粒,蒙牛,2,86.07,1848,70.38,-1846
珠海某酒店,酒店,3,85.99,1580,79.94,-1577
福州某酒店,酒店,4,85.9,1541,80.91,-1537
香格里拉某酒店,酒店,5,85.9,1721,75.72,-1716
沈阳某酒店,酒店,6,85.9,1386,83.42,-1380
无锡某酒店,酒店,7,85.59,1459,82.51,-1452
泉州某酒店,酒店,8,85.47,1536,81.12,-1528
常州某酒店,酒店,9,85.47,362,86.87,-353
千岛湖某酒店,酒店,10,85.33,1422,82.97,-1412
肇庆某酒店,酒店,11,85.33,1718,75.78,-1707
喜来登酒店,酒店,12,85.33,1903,67.01,-1891
蒙牛绿色心情,蒙牛,13,85.18,1894,67.69,-1881
九寨沟某酒店,酒店,14,85.18,1301,84.37,-1287
国宾大酒店,酒店,15,85.01,1441,82.71,-1426
华圣高原红富士苹果,水果,16,85.01,1309,84.32,-1293
澳门某酒店,酒店,17,85.01,1975,62.22,-1958
金华某酒店,酒店,18,85.01,1862,69.57,-1844
上海迪士尼乐园酒店,酒店,19,85.01,1756,74.32,-1737
蒙牛香蕉奶,蒙牛,20,85.01,493,86.34,-473
亦舒的作品,书籍,21,85.01,1745,74.8,-1724
京东洗发水,洗发水,22,85.01,39,88.23,-17
清扬樱花洗发水,洗发水,23,85.01,87,87.88,-64
南京某酒店,酒店,24,84.99,2,91.58,22
华为MatePad Pro,平板,25,84.91,1444,82.68,-1419
三毛的作品,书籍,26,84.81,804,86.12,-778
金陵溧阳宾馆,酒店,27,84.81,1799,72.72,-1772
蒙牛红枣酸牛奶,蒙牛,28,84.81,1994,60.06,-1966
自贡某酒店,酒店,29,84.81,2096,51.13,-2067
索菲特酒店,酒店,30,84.81,2040,56.06,-2010
美的电热水器40升,热水器,31,84.81,48,88.18,-17
联想ThinkPad X1,计算机,32,84.81,63,88.08,-31
厦门宾馆,酒店,33,84.81,1078,85.63,-1045
呼和浩特某酒店,酒店,34,84.81,26,88.36,8
神奇校车,书籍,35,84.81,413,86.75,-378
武夷山某酒店,酒店,36,84.81,2029,57.27,-1993
木棉花酒店,酒店,37,84.81,4,89.49,33
开发区某酒店,酒店,38,84.81,1761,74.12,-1723
当地某酒店,酒店,39,84.81,32,88.25,7
庐山某酒店,酒店,40,84.81,1936,64.73,-1896
神舟电脑,计算机,41,84.81,1666,77.63,-1625
镇江某酒店,酒店,42,84.81,2055,55.08,-2013
湖州某酒店,酒店,43,84.81,1860,69.63,-1817
小米平板3,平板,44,84.81,496,86.29,-452
蒙牛纯奶,蒙牛,45,84.57,1827,71.47,-1782
蒙牛红枣酸奶,蒙牛,46,84.57,1471,82.33,-1425
中山国际酒店,酒店,47,84.57,1833,71.33,-1786
郎教授的作品,书籍,48,84.57,140,87.55,-92
蒙牛酸牛奶,蒙牛,49,84.57,1177,85.25,-1128
东营某酒店,酒店,50,84.57,1551,80.79,-1501
优派电脑,计算机,51,84.57,1648,78.07,-1597
阳光酒店,酒店,52,84.57,7,89.16,45
湛江某酒店,酒店,53,84.57,8,89.11,45
柳州宾馆,酒店,54,84.57,3,89.49,51
吉林某酒店,酒店,55,84.57,2110,49.91,-2055
甘肃苹果,水果,56,84.57,1829,71.44,-1773
奶牛电脑,计算机,57,84.57,128,87.65,-71
济源某酒店,酒店,58,84.57,1820,71.68,-1762
iPad mini,平板,59,84.57,1115,85.49,-1056
许昌某酒店,酒店,60,84.57,15,88.64,45
小巫的作品,书籍,61,84.57,1896,67.48,-1835
平湖某酒店,酒店,62,84.57,1892,67.82,-1830
MacBook Air,计算机,63,84.57,2004,58.9,-1941
阿尔卡特OT535,手机,64,84.57,1891,67.82,-1827
安卓平板,平板,65,84.57,483,86.39,-418
汤姆走丢了,书籍,66,84.57,2006,58.44,-1940
新会某酒店,酒店,67,84.57,1881,68.75,-1814
成都新良大酒店,酒店,68,84.29,1679,77.31,-1611
横店某酒店,酒店,69,84.29,35,88.24,34
青岛海景花园大酒店,酒店,70,84.29,6,89.21,64
市中心某酒店,酒店,71,84.29,2035,56.53,-1964
广元某酒店,酒店,72,84.29,29,88.3,43
库尔勒香梨,水果,73,84.29,977,85.9,-904
新疆某酒店,酒店,74,84.29,411,86.76,-337
张小娴的作品,书籍,75,84.29,1533,81.21,-1458
杭州友好饭店,酒店,76,84.29,10,88.85,66
桐乡某酒店,酒店,77,84.29,204,87.4,-127
华为m3平板,平板,78,84.29,1413,83.06,-1335
小王子,书籍,79,84.29,1923,65.83,-1844
华为m3,平板,80,84.29,1920,65.93,-1840
蒙牛绿色好心情,蒙牛,81,84.29,2261,38.54,-2180
蒙牛新养道,蒙牛,82,84.29,1977,62.03,-1895
三星NC10,计算机,83,84.29,351,86.89,-268
蒙牛核桃牛奶,蒙牛,84,84.29,1412,83.06,-1328
上海粤海酒店,酒店,85,84.29,333,86.92,-248
上海瑞吉红塔大酒店,酒店,86,84.29,41,88.21,45
蒙牛小布丁,蒙牛,87,84.29,1960,62.71,-1873
临海某酒店,酒店,88,84.29,904,86.0,-816
临沂某酒店,酒店,89,84.29,90,87.88,-1
东野圭吾的作品,书籍,90,84.29,1974,62.24,-1884
冰心的作品,书籍,91,84.29,1925,65.6,-1834
仪征某酒店,酒店,92,84.29,1983,61.52,-1891
诺基亚N73,手机,93,84.29,1798,72.78,-1705
香港YMCA酒店,酒店,94,84.29,16,88.59,78
iPad mini4,平板,95,84.29,2103,50.54,-2008
越王山某酒店,酒店,96,84.29,462,86.54,-366
ThinkPad X61,计算机,97,84.29,1723,75.66,-1626
赣州某酒店,酒店,98,84.29,2735,12.9,-2637
西塘某酒店,酒店,99,84.29,203,87.41,-104
西双版纳某酒店,酒店,100,84.29,5,89.32,95
VS洗发水,洗发水,101,84.29,165,87.49,-64
沙宣洗护套装,洗发水,102,84.29,218,87.34,-116
池莉的作品,书籍,103,84.29,288,86.98,-185
小熊宝宝绘本,书籍,104,84.29,1416,83.05,-1312
林语堂的作品,书籍,105,84.29,437,86.62,-332
泸州某酒店,酒店,106,84.29,62,88.08,44
海宁某酒店,酒店,107,84.29,120,87.68,-13
滋源无硅油洗发水,洗发水,108,84.29,1918,66.12,-1810
烟台中心大酒店,酒店,109,84.29,2381,26.04,-2272
大连银帆宾馆,酒店,110,84.29,18,88.53,92
南阳某酒店,酒店,111,84.29,1985,61.31,-1874
苹果,水果,112,84.29,1938,64.54,-1826
博鳌某酒店,酒店,113,84.29,1681,77.13,-1568
甘肃天水红富士苹果,水果,114,84.29,130,87.64,-16
华君酒店,酒店,115,84.29,1901,67.22,-1786
