sku_id,raw_comment_cnt,valid_comment_cnt,valid_ratio,generated_name
8344046,72,51,0.7083,小米 r15 手机
5942439,93,73,0.7849,手机（电池耐用、id、1g、声音大、声音很大、适合老年人用）
25158905369,28,22,0.7857,魅族 手机（手机不错、手机很漂亮、值得购买、物流很快、物流也很快、包装完整）
3901175,86,68,0.7907,手机（还行、45激活的、还不错、还可以吧、帮朋友买的）
7437768,92,74,0.8043,小米 红米6a 手机
5663902,93,75,0.8065,华为 荣耀6p 手机
7651927,85,69,0.8118,小米 红米6 手机
7534113,96,78,0.8125,vivo y83 手机
30153140071,16,13,0.8125,华为 手机（手机不错、手机很漂亮、值得购买、还不错、还可以吧、帮朋友买的）
22863264117,43,35,0.814,华为 荣耀5 手机
29638202857,27,22,0.8148,手机（还不错、还可以吧、帮朋友买的、信赖京东、相信京东、是正品）
21135280362,22,18,0.8182,华为 手机（还不错、还可以吧、帮朋友买的、给老爸买的、老爸很喜欢、给爸爸买的）
8239683,79,65,0.8228,三星 小米8 手机
7081550,91,75,0.8242,荣耀10 手机
7283905,94,78,0.8298,小米6x 手机
5089275,95,79,0.8316,三星 mate10 手机
5001213,96,80,0.8333,小米 mix2 手机
7321794,93,78,0.8387,华为 p20 手机
5402840,81,68,0.8395,手机（给老人买的、给家里老人买的、老人用、声音大、声音很大、适合老年人用）
6610412,90,76,0.8444,小米 l885 手机
8240587,92,78,0.8478,华为 a3 手机
5089267,94,80,0.8511,小米6 手机
8484451,78,67,0.859,小米 手机（2246、1号凌晨买的、5g）
5019352,80,69,0.8625,荣耀6 手机
30323689521,30,26,0.8667,华为 mate9 手机
7694047,83,72,0.8675,华为 荣耀9i 手机
28714523786,32,28,0.875,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）
11107032701,44,39,0.8864,小米 手机（给老人买的、给家里老人买的、老人用、还不错、还可以吧、帮朋友买的）
28082716822,28,25,0.8929,华为 手机（物流很快、物流也很快、包装完整、手机不错、手机很漂亮、值得购买）
19078286246,48,43,0.8958,华为 手机（手机不错、手机很漂亮、值得购买、还不错、还可以吧、帮朋友买的）
25834204287,49,44,0.898,手机（物流很快、物流也很快、包装完整、手机收到了、手机已收到）
5375693,68,62,0.9118,手机（声音大、声音很大、适合老年人用、物流很快、物流也很快、包装完整）
27357030125,24,22,0.9167,荣耀 手机（给妈妈买的、给老妈买的、帮妈妈买的、手机收到了、手机已收到、物流也很快）
29242522476,12,11,0.9167,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）
16290978197,24,22,0.9167,华为 手机（手机收到了、手机已收到、物流也很快、屏幕大、屏幕分辨率挺高的、也好看）
13521715420,43,40,0.9302,手机（手机不错、手机很漂亮、值得购买、还行、45激活的）
26697273746,29,27,0.931,华为 手机（手机不错、手机很漂亮、值得购买、支持国货、支持国产、相信华为）
1592994,36,34,0.9444,手机（声音大、声音很大、适合老年人用、给老爸买的、老爸很喜欢、给爸爸买的）
7651903,55,52,0.9455,小米 红米6 手机
12764636413,38,36,0.9474,小米6 手机
29619588672,43,41,0.9535,小米 手机（手机不错、手机很漂亮、值得购买、支持小米、运行很流畅、性价比很高）
6176077,67,64,0.9552,小米 手机（运行速度快、实用、很好用、还不错、还可以吧、帮朋友买的）
29196113704,46,44,0.9565,小米 a22 手机
15612619462,54,52,0.963,魅族 note3 手机
29002078202,29,28,0.9655,华为 手机（手机不错、手机很漂亮、值得购买、还不错、还可以吧、帮朋友买的）
29659404127,29,28,0.9655,小米 手机（支持小米、运行很流畅、性价比很高、手机不错、手机很漂亮、值得购买）
7437788,61,59,0.9672,小米8 手机
25531193076,32,31,0.9688,华为 r11 手机
25774787882,40,39,0.975,oppo r15 手机
26263258528,42,41,0.9762,小米 荣耀7i 手机
5920651,49,48,0.9796,三星 手机（还不错、还可以吧、帮朋友买的、手机不错、手机很漂亮、值得购买）
20349124505,50,49,0.98,华为 mate10 手机
5089253,60,59,0.9833,三星 k7 手机
11339519481,39,39,1.0,华为 手机（支持国货、支持国产、相信华为、手机不错、手机很漂亮、值得购买）
7479912,60,60,1.0,华为 mate10 手机
7846413,62,62,1.0,小米8 手机
26128018111,23,23,1.0,手机（手机不错、手机很漂亮、值得购买、信赖京东、相信京东、是正品）
21845662740,23,23,1.0,华为 note2 手机
20898196348,30,30,1.0,荣耀 mate8 手机
28672267256,21,21,1.0,华为 手机（屏幕大、屏幕分辨率挺高的、也好看、手机不错、手机很漂亮、值得购买）
26266694915,22,22,1.0,oppo r11 手机
28409652238,21,21,1.0,小米 手机（手机收到了、手机已收到、物流也很快、给妈妈买的、给老妈买的、妈妈很喜欢）
28328600610,5,5,1.0,手机（还不错、还可以吧、帮朋友买的）
5853593,63,63,1.0,华为 荣耀8 手机
27930378393,3,3,1.0,手机（手机收到了、手机已收到、物流也很快、还行、45激活的）
